"name";"url"
"android.support.v13.app";"http://developer.android.com/reference/android/support/v13/app/package-summary.html"
"android.support.v14.preference";"http://developer.android.com/reference/android/support/v14/preference/package-summary.html"
"android.support.v17.leanback";"http://developer.android.com/reference/android/support/v17/leanback/package-summary.html"
"android.support.v17.leanback.app";"http://developer.android.com/reference/android/support/v17/leanback/app/package-summary.html"
"android.support.v17.leanback.database";"http://developer.android.com/reference/android/support/v17/leanback/database/package-summary.html"
"android.support.v17.leanback.graphics";"http://developer.android.com/reference/android/support/v17/leanback/graphics/package-summary.html"
"android.support.v17.leanback.system";"http://developer.android.com/reference/android/support/v17/leanback/system/package-summary.html"
"android.support.v17.leanback.widget";"http://developer.android.com/reference/android/support/v17/leanback/widget/package-summary.html"
"android.support.v17.preference";"http://developer.android.com/reference/android/support/v17/preference/package-summary.html"
"android.support.v4.accessibilityservice";"http://developer.android.com/reference/android/support/v4/accessibilityservice/package-summary.html"
"android.support.v4.animation";"http://developer.android.com/reference/android/support/v4/animation/package-summary.html"
"android.support.v4.app";"http://developer.android.com/reference/android/support/v4/app/package-summary.html"
"android.support.v4.content";"http://developer.android.com/reference/android/support/v4/content/package-summary.html"
"android.support.v4.content.pm";"http://developer.android.com/reference/android/support/v4/content/pm/package-summary.html"
"android.support.v4.content.res";"http://developer.android.com/reference/android/support/v4/content/res/package-summary.html"
"android.support.v4.database";"http://developer.android.com/reference/android/support/v4/database/package-summary.html"
"android.support.v4.graphics";"http://developer.android.com/reference/android/support/v4/graphics/package-summary.html"
"android.support.v4.graphics.drawable";"http://developer.android.com/reference/android/support/v4/graphics/drawable/package-summary.html"
"android.support.v4.hardware.display";"http://developer.android.com/reference/android/support/v4/hardware/display/package-summary.html"
"android.support.v4.hardware.fingerprint";"http://developer.android.com/reference/android/support/v4/hardware/fingerprint/package-summary.html"
"android.support.v4.media";"http://developer.android.com/reference/android/support/v4/media/package-summary.html"
"android.support.v4.media.session";"http://developer.android.com/reference/android/support/v4/media/session/package-summary.html"
"android.support.v4.net";"http://developer.android.com/reference/android/support/v4/net/package-summary.html"
"android.support.v4.os";"http://developer.android.com/reference/android/support/v4/os/package-summary.html"
"android.support.v4.print";"http://developer.android.com/reference/android/support/v4/print/package-summary.html"
"android.support.v4.provider";"http://developer.android.com/reference/android/support/v4/provider/package-summary.html"
